631	q33.2	152100000	155600000	gpos50	18
632	q33.3	155600000	159900000	gneg	18
633	q34	159900000	167400000	gpos100	18
634	q35.1	167400000	172200000	gneg	18
635	q35.2	172200000	176500000	gpos25	18
636	q35.3	176500000	180857866	gneg	18
637	p25.3	0	2300000	gneg	19
638	p25.2	2300000	4100000	gpos25	19
639	p25.1	4100000	7000000	gneg	19
640	p24.3	7000000	10600000	gpos50	19
641	p24.2	10600000	11200000	gneg	19
642	p24.1	11200000	13500000	gpos25	19
643	p23	13500000	15500000	gneg	19
644	p22.3	15500000	23500000	gpos75	19
645	p22.2	23500000	26100000	gneg	19
646	p22.1	26100000	29900000	gpos50	19
647	p21.33	29900000	31900000	gneg	19
648	p21.32	31900000	33600000	gpos25	19
649	p21.31	33600000	36800000	gneg	19
650	p21.2	36800000	40600000	gpos25	19
651	p21.1	40600000	45200000	gneg	19
652	p12.3	45200000	51100000	gpos100	19
653	p12.2	51100000	52600000	gneg	19
654	p12.1	52600000	57200000	gpos100	19
655	p11.2	57200000	58400000	gneg	19
656	p11.1	58400000	60500000	acen	19
657	q11.1	60500000	63400000	acen	19
658	q11.2	63400000	63500000	gneg	19
659	q12	63500000	70000000	gpos100	19
660	q13	70000000	75900000	gneg	19
661	q14.1	75900000	83900000	gpos50	19
662	q14.2	83900000	84700000	gneg	19
663	q14.3	84700000	87500000	gpos50	19
664	q15	87500000	92100000	gneg	19
665	q16.1	92100000	98700000	gpos100	19
666	q16.2	98700000	99900000	gneg	19
667	q16.3	99900000	104800000	gpos100	19
668	q21	104800000	113900000	gneg	19
669	q22.1	113900000	117100000	gpos75	19
670	q22.2	117100000	118600000	gneg	19
671	q22.31	118600000	126200000	gpos100	19
672	q22.32	126200000	127300000	gneg	19
673	q22.33	127300000	130400000	gpos75	19
674	q23.1	130400000	131300000	gneg	19
675	q23.2	131300000	135200000	gpos50	19
676	q23.3	135200000	139100000	gneg	19
677	q24.1	139100000	142900000	gpos75	19
678	q24.2	142900000	145700000	gneg	19
679	q24.3	145700000	149100000	gpos75	19
680	q25.1	149100000	152600000	gneg	19
681	q25.2	152600000	155600000	gpos50	19
